Dummy,Locality,Assemblage name,GeoLayer,Laboratory,Analysis number,Age,Pos. standard deviation,Neg. standard deviation,Dating method,Material dated,Date of analysis,Comments
,Abric Romaní,Level J Macromammal Fauna,Sequence III,-,-,-,-,-,-,-,-,-
,Abric Romaní,"Level D, micromammals",Sequence I,-,-,-,-,-,-,-,-,-
,Abric Romaní,"Level E, micromammals",Sequence II,-,-,-,-,-,-,-,-,-
,Abric Romaní,"Level J, micromammals",Sequence III,-,-,-,-,-,-,-,-,-
,Abric Romaní,"Level N, micromammals",Sequence V,-,-,-,-,-,-,-,-,-
,Abric Romaní,"Level O, micromammals",Sequence V,-,-,-,-,-,-,-,-,-
,Abrigo de la Malia,LU-V Macromammal Fauna,LU-V,-,-,-,-,-,-,-,-,-
,Abrigo de la Malia,LU-IVa Macromammal Fauna,LU-IVa,-,-,-,-,-,-,-,-,-
,Abrigo de la Malia,LU-IVb Macromammal Fauna,LU-IVb,-,-,-,-,-,-,-,-,-
,Abrigo de la Malia,LU-IVb Micromammal Fauna,LU-IVb,-,-,-,-,-,-,-,-,-
,Abrigo de la Malia,LU-IVa Micromammal Fauna,LU-IVa,-,-,-,-,-,-,-,-,-
,Abrigo de la Malia,LU-V Micromammal Fauna,LU-V,-,-,-,-,-,-,-,-,-
,Achenheim,"Loess recent, Fauna",Lower recent loess,-,-,-,-,-,-,-,-,-
,Achenheim,"Loess recent, Fauna",Upper recent loess,-,-,-,-,-,-,-,-,-
,Achenheim,"Loess recent, Micromammals",Lower recent loess,-,-,-,-,-,-,-,-,-
,Achenheim,"Loess recent, Micromammals",Upper recent loess,-,-,-,-,-,-,-,-,-
,Achenheim,"Loess ancien sup., Fauna",Upper ancient loess,-,-,-,-,-,-,-,-,-
,Achenheim,"Loess ancien sup., Micromammals",Upper ancient loess,-,-,-,-,-,-,-,-,-
,Aghitu-3 Cave,Fauna Layer AH III,GH 3,-,-,-,-,-,-,-,-,-
,Aghitu-3 Cave,Fauna Layer AH IV,GH 4,-,-,-,-,-,-,-,-,-
,Aghitu-3 Cave,Fauna Layer AH IV,GH 5,-,-,-,-,-,-,-,-,-
,Aghitu-3 Cave,Fauna Layer AH IV,GH 6,-,-,-,-,-,-,-,-,-
,Aghitu-3 Cave,Fauna Layer AH IV,GH 7,-,-,-,-,-,-,-,-,-
,Aghitu-3 Cave,Fauna Layer AH V,GH 8,-,-,-,-,-,-,-,-,-
,Aghitu-3 Cave,Fauna Layer AH VI,GH 10,-,-,-,-,-,-,-,-,-
,Aghitu-3 Cave,Fauna Layer AH VII,GH 11,-,-,-,-,-,-,-,-,-
,Al Wusta,Archaeological horizon assemblage,Unit 3a,-,-,-,-,-,-,-,-,-
,Al Wusta,Archaeological horizon assemblage,Unit 3b,-,-,-,-,-,-,-,-,-
,Al Wusta,"AW, Unit 3-2, Fauna",Unit 2,-,-,-,-,-,-,-,-,-
,Al Wusta,"AW, Unit 3-2, Fauna",Unit 3a,-,-,-,-,-,-,-,-,-
,Al Wusta,"AW, Unit 3-2, Fauna",Unit 3b,-,-,-,-,-,-,-,-,-
,Al Wusta,"AW, Unit 3-2, micromammals",Unit 2,-,-,-,-,-,-,-,-,-
,Al Wusta,"AW, Unit 3-2, micromammals",Unit 3a,-,-,-,-,-,-,-,-,-
,Al Wusta,"AW, Unit 3-2, micromammals",Unit 3b,-,-,-,-,-,-,-,-,-
,Alberndorf I,Fauna,Layer 4,-,-,-,-,-,-,-,-,-
,Altamura,Surface Level Macromammal Fauna,Surface Level,-,-,-,-,-,-,-,-,-
,Altamura,Surface Level Micromammal Fauna,Surface Level,-,-,-,-,-,-,-,-,-
,Amud Cave,"B1, Fauna",Layer B1,-,-,-,-,-,-,-,-,-
,Amud Cave,"B2, Fauna",Layer B2,-,-,-,-,-,-,-,-,-
,Amud Cave,"B1, micromammals",Layer B1,-,-,-,-,-,-,-,-,-
,Amud Cave,"B2, micromammals",Layer B2,-,-,-,-,-,-,-,-,-
,Amud Cave,"B4, micromammals",Layer B4,-,-,-,-,-,-,-,-,-
,Amud Cave,human remains 01,Layer B1,-,-,-,-,-,-,-,-,-
,Amud Cave,human remains 02,Layer B2,-,-,-,-,-,-,-,-,-
,Amud Cave,human remains 03,Layer B2,-,-,-,-,-,-,-,-,-
,Amud Cave,human remains 04,Layer B4,-,-,-,-,-,-,-,-,-
,Amud Cave,human remains 05,Layer B1,-,-,-,-,-,-,-,-,-
,Amud Cave,human remains 05,Layer B2,-,-,-,-,-,-,-,-,-
,Amud Cave,human remains 07,Layer B2,-,-,-,-,-,-,-,-,-
,Amud Cave,human remains 08,Layer B1,-,-,-,-,-,-,-,-,-
,Amud Cave,human remains 09,Layer B2,-,-,-,-,-,-,-,-,-
,Amud Cave,human remains 10,Layer B2,-,-,-,-,-,-,-,-,-
,Amud Cave,human remains 11,Layer B2,-,-,-,-,-,-,-,-,-
,Amud Cave,human remains 12,Layer B2,-,-,-,-,-,-,-,-,-
,Amud Cave,human remains 13,Layer B2,-,-,-,-,-,-,-,-,-
,Amud Cave,human remains 16,Layer B1,-,-,-,-,-,-,-,-,-
,Amud Cave,human remains 17,Layer B2,-,-,-,-,-,-,-,-,-
,Amud Cave,human remains 18,Layer B2,-,-,-,-,-,-,-,-,-
,Antu,Layer 1 fauna,Layer 1,-,-,-,-,-,-,-,-,-
,Antu,Layer 2 fauna,Layer 2,-,-,-,-,-,-,-,-,-
,Antu,Layer 3 fauna,Layer 3,-,-,-,-,-,-,-,-,-
,Antu,Layer 4 fauna,Layer 4,-,-,-,-,-,-,-,-,-
,Apidima Cave Gamma,Fauna,Cave breccia,-,-,-,-,-,-,-,-,-
,Ararat-1 Cave,"Unit 2a, Fauna",Unit 2a,-,-,-,-,-,-,-,-,-
,Ararat-1 Cave,"Unit 2b, Fauna",Unit 2b,-,-,-,-,-,-,-,-,-
,Ararat-1 Cave,"Unit 2c, Fauna",Unit 2c,-,-,-,-,-,-,-,-,-
,Ararat-1 Cave,"Unit 2d, Fauna",Unit 2d,-,-,-,-,-,-,-,-,-
,Ararat-1 Cave,"Unit 3, Fauna",Unit 3,-,-,-,-,-,-,-,-,-
,Ararat-1 Cave,"Unit 4, Fauna",Unit 4,-,-,-,-,-,-,-,-,-
,Ararat-1 Cave,"Unit 1, micromammals",Unit 1,-,-,-,-,-,-,-,-,-
,Ararat-1 Cave,"Unit 2a, micromammals",Unit 2a,-,-,-,-,-,-,-,-,-
,Ararat-1 Cave,"Unit 2b, micromammals",Unit 2b,-,-,-,-,-,-,-,-,-
,Ararat-1 Cave,"Unit 2c, micromammals",Unit 2c,-,-,-,-,-,-,-,-,-
,Ararat-1 Cave,"Unit 2d, micromammals",Unit 2d,-,-,-,-,-,-,-,-,-
,Ararat-1 Cave,"Unit 3, micromammals",Unit 3,-,-,-,-,-,-,-,-,-
,Ararat-1 Cave,"Unit 4, micromammals",Unit 4,-,-,-,-,-,-,-,-,-
,Ararat-1 Cave,"Unit 5, micromammals",Unit 5,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer I Micromammal Fauna,Layer B1_Mousterian,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer H Micromammal Fauna,Layer B1_Proto-Aurignacian,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer G Micromammal Fauna,Layer B1_Gravettian,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer F Micromammal Fauna,Layer B1_Gravettian,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer E Micromammal Fauna,Layer B1_Gravettian,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer D Micromammal Fauna,Layer B1_Gravettian,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer C Micromammal Fauna,Layer B1_Gravettian,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer B Micromammal Fauna,Layer B1_Gravettian,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer A Micromammal Fauna,Layer B1_Gravettian,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Terra Rossa Micromammal Fauna,Layer A Terra rossa,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer J Macromammal Fauna,Layer B2.1,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer J Micromammal Fauna,Layer B2.1,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer D Macromammal Fauna,Layer B1_Gravettian,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer I Macromammal Fauna,Layer B1_Gravettian,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer H Macromammal Fauna,Layer B1_Gravettian,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer E Macromammal Fauna,Layer B1_Gravettian,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer K Macromammal Fauna,Layer B2.1,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer K Micromammal Fauna,Layer B2.1,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer L Micromammal Fauna,Layer B2.2,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer L Macromammal Fauna,Layer B2.2,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer M Macromammal Fauna,Layer B2.2,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer M Micromammal Fauna,Layer B2.2,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer N Micromammal Fauna,Layer B2.2,-,-,-,-,-,-,-,-,-
,Arbreda Cave,Arbreda Cave Archaeological Layer N Macromammal Fauna,Layer B2.2,-,-,-,-,-,-,-,-,-
,Archi,human remains,C-3,-,-,-,-,-,-,-,-,-
,Archi,"C3, Fauna",C-3,-,-,-,-,-,-,-,-,-
,Archi,"D2, Fauna",D-2,-,-,-,-,-,-,-,-,-
,Arcy-sur-Cure - Grotte du Bison,Unit B Fauna,Unit B,-,-,24140,310,310,14C (radiocarbon) dating,bone,0,-
,Arcy-sur-Cure - Grotte du Bison,Unit D Fauna,Unit D,-,-,33670,450,450,14C (radiocarbon) dating,bone,0,-
,Arcy-sur-Cure - Grotte du Bison,Unit I Fauna,Unit I,-,-,50000,-1,-1,14C (radiocarbon) dating,bone,0,-
,Arcy-sur-Cure - Grotte du Bison,Unit I human remains 01,Unit I,-,-,-,-,-,-,-,-,-
,Arcy-sur-Cure - Grotte du Bison,Unit I human remains 02,Unit I,-,-,-,-,-,-,-,-,-
,Arcy-sur-Cure - Grotte du Bison,Unit I human remains 03,Unit I,-,-,-,-,-,-,-,-,-
,Arcy-sur-Cure - Grotte du Bison,Unit I human remains 04,Unit I,-,-,-,-,-,-,-,-,-
,Arcy-sur-Cure - Grotte du Renne,Layer Xc Fauna,Unit X,-,-,-,-,-,-,-,-,-
,Ariendorf,2 fauna,Loess Bed II,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe SQ2 level VI fauna,Nivel VI,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe SQ2 level 5 fauna,Nivel 5,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe SQ2 level 4 fauna,Nivel 4,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe SQ3 level V fauna,Nivel V,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe SQ3 level IV fauna,Nivel IV,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe SQ3 level 3 fauna,Nivel 3,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe SQ3 level D fauna,Nivel D,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level I,Nivel I,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level II,Nivel II,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level III,Nivel III,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level 2,Nivel 2,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level I Micromammals,Nivel I,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level I-II Micromammals,Nivel I,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level I-II Micromammals,Nivel II,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level II Micromammals,Nivel II,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level II-IV Micromammals,Nivel II,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level II-IV Micromammals,Nivel III,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level II-IV Micromammals,Nivel IV,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe SQ3 Level V Micromammals,Nivel V,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level V-VI Micromammals,Nivel V,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level V-VI Micromammals,Nivel VI,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe SQ2 Level VI Micromammals,Nivel VI,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level 2 Micromammals,Nivel 2,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe SQ3 Level 3 Micromammals,Nivel 3,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe SQ2 Level 4 Micromammals,Nivel 4,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level A Micromammals,Nivel A,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level A-B Micromammals,Nivel A,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level A-B Micromammals,Nivel B,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe Level B Micromammals,Nivel B,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe SQ3 Level C Micromammals,Nivel C,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe SQ3 Level C-D Micromammals,Nivel C,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe SQ3 Level C-D Micromammals,Nivel D,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe SQ3 Level D Micromammals,Nivel D,-,-,-,-,-,-,-,-,-
,Arlanpe,Arlanpe SQ3 Level IV Micromammals,Nivel IV,-,-,-,-,-,-,-,-,-
,Arma delle Manie,Fauna,Unit I,-,-,-,-,-,-,-,-,-
,Arma delle Manie,Fauna,Unit II,-,-,-,-,-,-,-,-,-
,Arma delle Manie,Fauna,Unit III,-,-,-,-,-,-,-,-,-
,Arma delle Manie,Fauna,Unit IV,-,-,-,-,-,-,-,-,-
,Arma delle Manie,Fauna,Unit V,-,-,-,-,-,-,-,-,-
,Arma delle Manie,Fauna,Unit VI,-,-,-,-,-,-,-,-,-
,Arma delle Manie,Fauna,Unit VII,-,-,-,-,-,-,-,-,-
,Arrillor,Amk human remains,Amk,-,-,-,-,-,-,-,-,-
,Arrillor,Amk fauna,Amk,-,-,-,-,-,-,-,-,-
,Arrillor,Smk-I fauna,Smk-l,-,-,-,-,-,-,-,-,-
,Arrillor,Lmc fauna,Lmc,-,-,-,-,-,-,-,-,-
,Artenac,Artenac Layer 10 Fauna,Unit 10,-,-,-,-,-,-,-,-,-
,Artenac,Artenac Layer 9 Fauna,Unit 9,-,-,-,-,-,-,-,-,-
,Artenac,Artenac Layer 8 Fauna,Unit 8,-,-,-,-,-,-,-,-,-
,Artenac,Artenac Layer 7 Fauna,Unit 7,-,-,-,-,-,-,-,-,-
,Artenac,Artenac Layer 6/7 Fauna,Unit 6,-,-,-,-,-,-,-,-,-
,Artenac,Artenac Layer 6/7 Fauna,Unit 7,-,-,-,-,-,-,-,-,-
,Artenac,Artenac Layer 6a Fauna,Unit 6,-,-,-,-,-,-,-,-,-
,Artenac,Artenac Layer 6b Fauna,Unit 6,-,-,-,-,-,-,-,-,-
,Artenac,Artenac Layer 6c Fauna,Unit 6,-,-,-,-,-,-,-,-,-
,Axlor,Axlor Nivel 3 human remains 1,Nivel 3,-,-,-,-,-,-,-,-,-
,Axlor,Axlor Nivel 3 human remains 2,Nivel 3,-,-,-,-,-,-,-,-,-
,Axlor,Axlor Nivel 3 human remains 3,Nivel 3,-,-,-,-,-,-,-,-,-
,Axlor,Axlor Nivel 3 human remains 4,Nivel 3,-,-,-,-,-,-,-,-,-
,Axlor,Axlor Nivel 3 human remains 5,Nivel 3,-,-,-,-,-,-,-,-,-
,Axlor,Axlor Nivel 1 fauna,Nivel 1,-,-,-,-,-,-,-,-,-
,Axlor,Axlor Nivel 2 fauna,Nivel 2,-,-,-,-,-,-,-,-,-
,Axlor,Axlor Nivel 3 fauna,Nivel 3,-,-,-,-,-,-,-,-,-
,Axlor,Axlor Nivel 4 fauna,Nivel 4,-,-,-,-,-,-,-,-,-
,Axlor,Axlor Nivel 5 fauna,Nivel 5,-,-,-,-,-,-,-,-,-
,Axlor,Axlor Nivel 6 fauna,Nivel 6,-,-,-,-,-,-,-,-,-
,Axlor,Axlor Nivel 7 fauna,Nivel 7,-,-,-,-,-,-,-,-,-
,Axlor,Axlor Nivel 8 fauna,Nivel 8,-,-,-,-,-,-,-,-,-
,Axlor,Axlor Nivel B-C fauna,Nivel 3,-,-,-,-,-,-,-,-,-
,Axlor,Axlor Nivel D fauna,Nivel 4,-,-,-,-,-,-,-,-,-
,Azokh-1 Cave,"Azokh 1, human remains 02",Unit II,-,-,-,-,-,-,-,-,-
,Azokh-1 Cave,"Azokh 1, Unit III, coll. 1960-1989 Fauna",Unit III,-,-,-,-,-,-,-,-,-
,Azokh-1 Cave,"Azokh 1, Unit III, coll. 2002-2009 Fauna",Unit III,-,-,-,-,-,-,-,-,-
,Azokh-1 Cave,"Azokh 1, Unit II, coll. 2002-2009 Fauna",Unit II,-,-,-,-,-,-,-,-,-
,Azokh-1 Cave,"Azokh 1, Unit III, coll. 2002-2009 micromammals",Unit III,-,-,-,-,-,-,-,-,-
,Azokh-1 Cave,"Azokh 1, Unit II/III, coll. 2002-2009 micromammals",Unit II,-,-,-,-,-,-,-,-,-
,Azokh-1 Cave,"Azokh 1, Unit II/III, coll. 2002-2009 micromammals",Unit III,-,-,-,-,-,-,-,-,-
,Azokh-1 Cave,"Azokh 1, Unit II, coll. 2002-2009 micromammals",Unit II,-,-,-,-,-,-,-,-,-
,Baigara,Baigara Irtysh river fauna,Irtysh river,-,-,-,-,-,-,-,-,-
,Balver Cave,Layer A V Macromammal Fauna,layer A V,-,-,-,-,-,-,-,-,-
,Balver Cave,Layer C IIa Macromammal Fauna,layer A II/ B II (6-5),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer B IIIa Macromammal Fauna,layer A III/ B III (4-3),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer 1 Macromammal Fauna,layer A III/ B IIIa (2-1),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer 2 Macromammal Fauna,layer A III/ B IIIa (2-1),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer A III Macromammal Fauna,layer A III/ B III (4-3),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer 3 Macromammal Fauna,layer A III/ B III (4-3),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer 4 Macromammal Fauna,layer A III/ B III (4-3),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer B III Macromammal Fauna,layer A III/ B III (4-3),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer 5 Macromammal Fauna,layer A II/ B II (6-5),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer 7 Macromammal Fauna,layer A I/ B I (10-7),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer 9 Macromammal Fauna,layer A I/ B I (10-7),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer 11 Macromammal Fauna,layer A I/ B I (10-7),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer A II Macromammal Fauna,layer A II/ B II (6-5),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer B II Macromammal Fauna,layer A II/ B II (6-5),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer 6 Macromammal Fauna,layer A II/ B II (6-5),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer B I Macromammal Fauna,layer A I/ B I (10-7),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer 8 Macromammal Fauna,layer A I/ B I (10-7),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer 10 Macromammal Fauna,layer A I/ B I (10-7),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer 12 Macromammal Fauna,layer A I/ B I (10-7),-,-,-,-,-,-,-,-,-
,Balver Cave,Layer B V Macromammal Fauna,layer A V,-,-,-,-,-,-,-,-,-
,Balver Cave,Layer C V Macromammal Fauna,layer A V,-,-,-,-,-,-,-,-,-
,Ban Fa Suai I,"Area 1, Fauna",Unit III,-,-,-,-,-,-,-,-,-
,Ban Fa Suai I,"Surface, Fauna",Unit III,-,-,-,-,-,-,-,-,-
,Ban Fa Suai I,"Area 1, micromammals",Unit III,-,-,-,-,-,-,-,-,-
,Ban Fa Suai I,"Surface, micromammals",Unit III,-,-,-,-,-,-,-,-,-
,Ban Fa Suai II,"Unit 2, Fauna",Unit 2,-,-,-,-,-,-,-,-,-
,Ban Fa Suai II,"Unit 2, micromammals",Unit 2,-,-,-,-,-,-,-,-,-
,Baojiyan,Baojiyan fauna,Layer 1,-,-,-,-,-,-,-,-,-
,Baojiyan,Baojiyan fauna,Layer 2,-,-,-,-,-,-,-,-,-
,Baojiyan,Baojiyan fauna,Layer 3,-,-,-,-,-,-,-,-,-
,Barakai,Barakai Layer 2 human remains,Layer 2,-,-,-,-,-,-,-,-,-
,Barakai,Barakai Layer 2 fauna,Layer 2,-,-,-,-,-,-,-,-,-
,Barma Grande,"BG, Layer 0, Fauna",Layer 0,-,-,-,-,-,-,-,-,-
,Basura Cave,"Basura, SU2, fauna",P1 SU2,-,-,-,-,-,-,-,-,-
,Basura Cave,"Basura, SU2, fauna",P2 SU2,-,-,-,-,-,-,-,-,-
,Basura Cave,Basura CdO 1310,P2 SU1,GrA,GrA-69715,24360,120,120,14C (radiocarbon) dating,bone,2016,-
,Basura Cave,Basura CdO 1311,P2 SU2,GrA,GrA-69716,44870,435,435,14C (radiocarbon) dating,bone,2016,-
,Basura Cave,Basura CdO 1312,P2 SU3,GrA,GrA-69717,49200,575,575,14C (radiocarbon) dating,bone,2016,-
,Basura Cave,Basura CdO 1309,P2 SU3,GrA,GrA-69718,31100,185,185,14C (radiocarbon) dating,bone,2016,-
,Bau de l Aubesier,Bau de l Aubesier human remains 1,Trench L Unit II,-,-,-,-,-,-,-,-,-
,Bau de l Aubesier,Bau de l Aubesier human remains 1,Trench L Unit III,-,-,-,-,-,-,-,-,-
,Bau de l Aubesier,Bau de l Aubesier human remains 1,Trench L Unit IV,-,-,-,-,-,-,-,-,-
,Bau de l Aubesier,Bau de l Aubesier layer IV human remains,Trench L Unit IV,-,-,-,-,-,-,-,-,-
