"Locality","Assemblage","GeoLayer.Name","Country","Locality.Type","X","Y","Technocomplex","Geostrat..Info..age.min","Geostrat..Info..age.max","Geostrat..Info..correlation","Geostrat..Info..mis","NISP.Sum.class.Mammalia","NISP.Sum.order.Rodentia","NISP.Sum.family.Anatidae"
"Abric Romaní","Level J Macromammal Fauna","Sequence III","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",47000,52500,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-"
"Abric Romaní","Level D, micromammals","Sequence I","Spain","rock shelter",1.688266,41.532812,"UP/ Aurignacian, MP/ Mousterian - Eurasia, MP/ Mousterian - Eurasia",30000,48000,"14C (radiocarbon) dating, U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","","-"
"Abric Romaní","Level E, micromammals","Sequence II","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",37000,50000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","","-"
"Abric Romaní","Level J, micromammals","Sequence III","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",47000,52500,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","","-"
"Abric Romaní","Level N, micromammals","Sequence V","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",53000,65000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","4-3","","","-"
"Abric Romaní","Level O, micromammals","Sequence V","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",53000,65000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","4-3","","","-"
"Abrigo de la Malia","LU-V Macromammal Fauna","LU-V","Spain","rock shelter",-3.258296,41.004633,"UP/ Aurignacian",27360,37200,"14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating","-","41","-","-"
"Abrigo de la Malia","LU-IVa Macromammal Fauna","LU-IVa","Spain","rock shelter",-3.258296,41.004633,"UP/ Solutrean",22480,22820,"14C (radiocarbon) dating, geology (based on position of layers)","-","83","-","-"
"Abrigo de la Malia","LU-IVb Macromammal Fauna","LU-IVb","Spain","rock shelter",-3.258296,41.004633,"UP/ Gravettian",26520,29400,"14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating, geology (based on position of layers)","-","178","-","-"
"Abrigo de la Malia","LU-IVb Micromammal Fauna","LU-IVb","Spain","rock shelter",-3.258296,41.004633,"UP/ Gravettian",26520,29400,"14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating, geology (based on position of layers)","-","26","24","-"
"Abrigo de la Malia","LU-IVa Micromammal Fauna","LU-IVa","Spain","rock shelter",-3.258296,41.004633,"UP/ Solutrean",22480,22820,"14C (radiocarbon) dating, geology (based on position of layers)","-","22","21","-"
"Abrigo de la Malia","LU-V Micromammal Fauna","LU-V","Spain","rock shelter",-3.258296,41.004633,"UP/ Aurignacian",27360,37200,"14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating","-","33","32","-"
"Achenheim","Loess recent, Fauna","Lower recent loess","France","quarry",7.624766,48.578703,"",29000,71000,"geology (based on position of layers), stratigraphy","4-3","","-","-"
"Achenheim","Loess recent, Fauna","Upper recent loess","France","quarry",7.624766,48.578703,"",11700,29000,"geology (based on position of layers), stratigraphy","2-1","","-","-"
"Achenheim","Loess recent, Micromammals","Lower recent loess","France","quarry",7.624766,48.578703,"",29000,71000,"geology (based on position of layers), stratigraphy","4-3","","","-"
"Achenheim","Loess recent, Micromammals","Upper recent loess","France","quarry",7.624766,48.578703,"",11700,29000,"geology (based on position of layers), stratigraphy","2-1","","","-"
"Achenheim","Loess ancien sup., Fauna","Upper ancient loess","France","quarry",7.624766,48.578703,"",130000,300000,"geology (based on position of layers), stratigraphy","8-6","","-","-"
"Achenheim","Loess ancien sup., Micromammals","Upper ancient loess","France","quarry",7.624766,48.578703,"",130000,300000,"geology (based on position of layers), stratigraphy","8-6","","","-"
"Aghitu-3 Cave","Fauna Layer AH III","GH 3","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",20000,25000,"14C (radiocarbon) dating","-","1240","53","-"
"Aghitu-3 Cave","Fauna Layer AH IV","GH 4","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",25000,25700,"geology (based on position of layers)","-","66","37","-"
"Aghitu-3 Cave","Fauna Layer AH IV","GH 5","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",25000,25700,"geology (based on position of layers)","-","66","37","-"
"Aghitu-3 Cave","Fauna Layer AH IV","GH 6","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",25000,25700,"geology (based on position of layers)","-","66","37","-"
"Aghitu-3 Cave","Fauna Layer AH IV","GH 7","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",25000,25700,"geology (based on position of layers)","-","66","37","-"
"Aghitu-3 Cave","Fauna Layer AH V","GH 8","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",25700,27000,"14C (radiocarbon) dating","-","34","20","-"
"Aghitu-3 Cave","Fauna Layer AH VI","GH 10","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",27500,32000,"14C (radiocarbon) dating","-","368","125","1"
"Aghitu-3 Cave","Fauna Layer AH VII","GH 11","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",30000,34500,"14C (radiocarbon) dating","-","247","129","5"
"Al Wusta","Archaeological horizon assemblage","Unit 3a","Saudi Arabia","open air",38.098378,27.257211,"MP/ Middle Paleolithic - Levant",85100,113000,"ESR (electron spin resonance) dating, OSL (optically stimulated thermoluminescence) dating, geology (based on position of layers)","-","","","-"
"Al Wusta","Archaeological horizon assemblage","Unit 3b","Saudi Arabia","open air",38.098378,27.257211,"MP/ Middle Paleolithic - Levant",0,87600,"U series (uranium-thorium) dating, geology (based on position of layers)","-","","","-"
"Al Wusta","AW, Unit 3-2, Fauna","Unit 2","Saudi Arabia","open air",38.098378,27.257211,"",91600,105600,"geology (based on position of layers)","-","","-","-"
"Al Wusta","AW, Unit 3-2, Fauna","Unit 3a","Saudi Arabia","open air",38.098378,27.257211,"MP/ Middle Paleolithic - Levant",85100,113000,"ESR (electron spin resonance) dating, OSL (optically stimulated thermoluminescence) dating, geology (based on position of layers)","-","","-","-"
"Al Wusta","AW, Unit 3-2, Fauna","Unit 3b","Saudi Arabia","open air",38.098378,27.257211,"MP/ Middle Paleolithic - Levant",0,87600,"U series (uranium-thorium) dating, geology (based on position of layers)","-","","-","-"
"Al Wusta","AW, Unit 3-2, micromammals","Unit 2","Saudi Arabia","open air",38.098378,27.257211,"",91600,105600,"geology (based on position of layers)","-","","","-"
"Al Wusta","AW, Unit 3-2, micromammals","Unit 3a","Saudi Arabia","open air",38.098378,27.257211,"MP/ Middle Paleolithic - Levant",85100,113000,"ESR (electron spin resonance) dating, OSL (optically stimulated thermoluminescence) dating, geology (based on position of layers)","-","","","-"
"Al Wusta","AW, Unit 3-2, micromammals","Unit 3b","Saudi Arabia","open air",38.098378,27.257211,"MP/ Middle Paleolithic - Levant",0,87600,"U series (uranium-thorium) dating, geology (based on position of layers)","-","","","-"
"Alberndorf I","Fauna","Layer 4","Austria","open air",16.112169,48.683372,"UP/ Aurignacian",26480,29270,"14C (radiocarbon) dating","3-2","","-","-"
"Altamura","Surface Level Macromammal Fauna","Surface Level","Italy","cave",16.587339,40.872072,"",6320,218000,"U series (uranium-thorium) dating","7-1","0","-","-"
"Altamura","Surface Level Micromammal Fauna","Surface Level","Italy","cave",16.587339,40.872072,"",6320,218000,"U series (uranium-thorium) dating","7-1","0","-","-"
"Amud Cave","B1, Fauna","Layer B1","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",46000,61300,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","245","3","-"
"Amud Cave","B2, Fauna","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","229","33","-"
"Amud Cave","B1, micromammals","Layer B1","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",46000,61300,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","195","194","-"
"Amud Cave","B2, micromammals","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","165","164","-"
"Amud Cave","B4, micromammals","Layer B4","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",59000,81000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","4","159","157","-"
"Amud Cave","human remains 01","Layer B1","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",46000,61300,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-"
"Amud Cave","human remains 02","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-"
"Amud Cave","human remains 03","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-"
"Amud Cave","human remains 04","Layer B4","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",59000,81000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","4","-","-","-"
"Amud Cave","human remains 05","Layer B1","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",46000,61300,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-"
"Amud Cave","human remains 05","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-"
"Amud Cave","human remains 07","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-"
"Amud Cave","human remains 08","Layer B1","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",46000,61300,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-"
"Amud Cave","human remains 09","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-"
"Amud Cave","human remains 10","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-"
"Amud Cave","human remains 11","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-"
"Amud Cave","human remains 12","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-"
"Amud Cave","human remains 13","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-"
"Amud Cave","human remains 16","Layer B1","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",46000,61300,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-"
"Amud Cave","human remains 17","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-"
"Amud Cave","human remains 18","Layer B2","Israel","cave",35.5016,32.872133,"MP/ Mousterian - Levant",52000,70000,"ESR (electron spin resonance) dating, TL (thermoluminescence) dating","3","-","-","-"
"Antu","Layer 1 fauna","Layer 1","China","cave",128.933333,43.083333,"",0,1000000,"unknown","-","","-","-"
"Antu","Layer 2 fauna","Layer 2","China","cave",128.933333,43.083333,"",0,1000000,"unknown","-","","-","-"
"Antu","Layer 3 fauna","Layer 3","China","cave",128.933333,43.083333,"",0,1000000,"unknown","-","","-","-"
"Antu","Layer 4 fauna","Layer 4","China","cave",128.933333,43.083333,"",0,1000000,"unknown","-","","-","-"
"Apidima Cave Gamma","Fauna","Cave breccia","Greece","cave",22.3636,36.6736,"",10000,45000,"ESR (electron spin resonance) dating, U series (uranium-thorium) dating","-","","-","-"
"Ararat-1 Cave","Unit 2a, Fauna","Unit 2a","Armenia","cave",44.77,39.85,"",30900,35900,"OSL (optically stimulated thermoluminescence) dating","3","3","-","-"
"Ararat-1 Cave","Unit 2b, Fauna","Unit 2b","Armenia","cave",44.77,39.85,"",32600,37600,"OSL (optically stimulated thermoluminescence) dating","3","3","-","-"
"Ararat-1 Cave","Unit 2c, Fauna","Unit 2c","Armenia","cave",44.77,39.85,"",32600,48100,"stratigraphy","3","1","-","-"
"Ararat-1 Cave","Unit 2d, Fauna","Unit 2d","Armenia","cave",44.77,39.85,"",42100,48100,"OSL (optically stimulated thermoluminescence) dating","3","2","-","-"
"Ararat-1 Cave","Unit 3, Fauna","Unit 3","Armenia","cave",44.77,39.85,"",39050,47200,"14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating","3","1","-","-"
"Ararat-1 Cave","Unit 4, Fauna","Unit 4","Armenia","cave",44.77,39.85,"",48800,56000,"OSL (optically stimulated thermoluminescence) dating","3","9","-","-"
"Ararat-1 Cave","Unit 1, micromammals","Unit 1","Armenia","cave",44.77,39.85,"",0,35900,"stratigraphy","-","5","4","-"
"Ararat-1 Cave","Unit 2a, micromammals","Unit 2a","Armenia","cave",44.77,39.85,"",30900,35900,"OSL (optically stimulated thermoluminescence) dating","3","26","26","-"
"Ararat-1 Cave","Unit 2b, micromammals","Unit 2b","Armenia","cave",44.77,39.85,"",32600,37600,"OSL (optically stimulated thermoluminescence) dating","3","33","22","-"
"Ararat-1 Cave","Unit 2c, micromammals","Unit 2c","Armenia","cave",44.77,39.85,"",32600,48100,"stratigraphy","3","4","2","-"
"Ararat-1 Cave","Unit 2d, micromammals","Unit 2d","Armenia","cave",44.77,39.85,"",42100,48100,"OSL (optically stimulated thermoluminescence) dating","3","14","4","-"
"Ararat-1 Cave","Unit 3, micromammals","Unit 3","Armenia","cave",44.77,39.85,"",39050,47200,"14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating","3","10","5","-"
"Ararat-1 Cave","Unit 4, micromammals","Unit 4","Armenia","cave",44.77,39.85,"",48800,56000,"OSL (optically stimulated thermoluminescence) dating","3","18","14","-"
"Ararat-1 Cave","Unit 5, micromammals","Unit 5","Armenia","cave",44.77,39.85,"",48800,56000,"OSL (optically stimulated thermoluminescence) dating","3","3","-","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer I Micromammal Fauna","Layer B1_Mousterian","Spain","cave",2.746944,42.160556,"MP/ Mousterian - Eurasia",31650,46300,"14C (radiocarbon) dating","-","200","","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer H Micromammal Fauna","Layer B1_Proto-Aurignacian","Spain","cave",2.746944,42.160556,"UP/ Proto-Aurignacian",22467,45840,"14C (radiocarbon) dating","-","","","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer G Micromammal Fauna","Layer B1_Gravettian","Spain","cave",2.746944,42.160556,"UP/ Gravettian",22467,28570,"14C (radiocarbon) dating","-","","","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer F Micromammal Fauna","Layer B1_Gravettian","Spain","cave",2.746944,42.160556,"UP/ Gravettian",22467,28570,"14C (radiocarbon) dating","-","","","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer E Micromammal Fauna","Layer B1_Gravettian","Spain","cave",2.746944,42.160556,"UP/ Gravettian",22467,28570,"14C (radiocarbon) dating","-","944","","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer D Micromammal Fauna","Layer B1_Gravettian","Spain","cave",2.746944,42.160556,"UP/ Gravettian",22467,28570,"14C (radiocarbon) dating","-","","","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer C Micromammal Fauna","Layer B1_Gravettian","Spain","cave",2.746944,42.160556,"UP/ Gravettian",22467,28570,"14C (radiocarbon) dating","-","","","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer B Micromammal Fauna","Layer B1_Gravettian","Spain","cave",2.746944,42.160556,"UP/ Gravettian",22467,28570,"14C (radiocarbon) dating","-","","","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer A Micromammal Fauna","Layer B1_Gravettian","Spain","cave",2.746944,42.160556,"UP/ Gravettian",22467,28570,"14C (radiocarbon) dating","-","","","-"
"Arbreda Cave","Arbreda Cave Terra Rossa Micromammal Fauna","Layer A Terra rossa","Spain","cave",2.746944,42.160556,"",0,12000,"stratigraphy","-","","","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer J Macromammal Fauna","Layer B2.1","Spain","cave",2.746944,42.160556,"MP/ Mousterian - Eurasia",31650,125900,"stratigraphy","-","1415","1","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer J Micromammal Fauna","Layer B2.1","Spain","cave",2.746944,42.160556,"MP/ Mousterian - Eurasia",31650,125900,"stratigraphy","-","132","-","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer D Macromammal Fauna","Layer B1_Gravettian","Spain","cave",2.746944,42.160556,"UP/ Gravettian",22467,28570,"14C (radiocarbon) dating","-","659","-","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer I Macromammal Fauna","Layer B1_Gravettian","Spain","cave",2.746944,42.160556,"UP/ Gravettian",22467,28570,"14C (radiocarbon) dating","-","1430","-","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer H Macromammal Fauna","Layer B1_Gravettian","Spain","cave",2.746944,42.160556,"UP/ Gravettian",22467,28570,"14C (radiocarbon) dating","-","169","-","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer E Macromammal Fauna","Layer B1_Gravettian","Spain","cave",2.746944,42.160556,"UP/ Gravettian",22467,28570,"14C (radiocarbon) dating","-","547","-","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer K Macromammal Fauna","Layer B2.1","Spain","cave",2.746944,42.160556,"MP/ Mousterian - Eurasia",31650,125900,"stratigraphy","-","127","-","-"
"Arbreda Cave","Arbreda Cave Archaeological Layer K Micromammal Fauna","Layer B2.1","Spain","cave",2.746944,42.160556,"MP/ Mousterian - Eurasia",31650,125900,"stratigraphy","-","22","-","-"
