Locality;Country;Continent;Subcontinent;Locality_type;X;Y;Assemblage_name;Assemblage_id;Assemblage_category;Age_MIN;Age_MAX;Geolayer;Archaeological_category;Archaeological_culture;Technocomplex;Lithic_piece_number
Canaule II;France;Europe;Western Europe;open air;0.559;44.856;Canaule II Unit 2 Archaeological Assemblage;1;raw material, technology, typology;35000;45000;Unit 2;technology, typology;Middle Paleolithic;Chatelperronian;15730
Châtelperron - Grotte Effondrée;France;Europe;Western Europe;collapsed cave;3.639;46.412;Layer B assemblage;1;organic tools, raw material, symbolic artifacts, technology, typology;35000;45000;Unit B;symbolic artifacts, organic tools, typology, technology;Middle Paleolithic;Chatelperronian;749
Cova Foradada (Calafell);Spain;Europe;Southern Europe;cave;1.581;41.205;Unit IV - lithics;3;miscellaneous finds, raw material, technology, typology;36000;45000;Unit IV;technology, miscellaneous finds, typology;Middle Paleolithic;Chatelperronian;25
Cova Foradada (Calafell);Spain;Europe;Southern Europe;cave;1.581;41.205;Unit IV-1 - lithics;4;raw material, symbolic artifacts, technology, typology;36000;45000;Unit IV;typology, symbolic artifacts, technology;Middle Paleolithic;Chatelperronian;6
Cova Foradada (Calafell);Spain;Europe;Southern Europe;cave;1.581;41.205;Unit IV-2 - lithics;5;raw material, technology, typology;36000;45000;Unit IV;technology, typology;Middle Paleolithic;Chatelperronian;3
Cueva Morín;Spain;Europe;Southern Europe;cave;-3.858;43.359;Cueva Morín Level 10 Assemblage;4;miscellaneous finds, raw material, technology, typology;33180;40410;Cueva Morín Level 10;typology, technology, miscellaneous finds;Middle Paleolithic;Chatelperronian;10373
Fontenioux;France;Europe;Western Europe;cave;0.846;46.698;Level B (Chatelperronian);2;miscellaneous finds, organic tools, symbolic artifacts, typology;30000;50000;Unit B;miscellaneous finds, organic tools, typology, symbolic artifacts;Middle Paleolithic;Chatelperronian;-1
Gatzarria;France;Europe;Western Europe;cave;-0.92;43.135;Gatzarria Cjn3 Archaeological Assemblage;6;raw material, typology, technology, organic tools, symbolic artifacts;33250;46200;Cj;symbolic artifacts, typology, organic tools, technology;Middle Paleolithic;Chatelperronian;-1
Grotte XVI;France;Europe;Western Europe;cave;1.159;44.809;Grotte XVI Level B Archaeological Assemblage;1;raw material, technology, typology;19740;67100;Unit IV;technology, typology;Middle Paleolithic;Chatelperronian;-1
Grotte des Fees;France;Europe;Western Europe;cave;3.638;46.412;Grotte des Fees Unit B4 Archaeological Assemblage;2;raw material, symbolic artifacts, technology, typology;35260;40170;Unit B4;technology, symbolic artifacts, typology;Middle Paleolithic;Chatelperronian;-1
Grotte des Fees;France;Europe;Western Europe;cave;3.638;46.412;Grotte des Fees Unit B5 Archaeological Assemblage;3;raw material, technology, typology;38550;41250;Unit B5;technology, typology;Middle Paleolithic;Chatelperronian;-1
Grotte du Loup;France;Europe;Western Europe;cave;1.557;45.13;Chatelperronian (4-5);1;miscellaneous finds, typology;40000#40000;50000#50000;Unit 4#Unit 5;typology, miscellaneous finds;Middle Paleolithic;Chatelperronian;1000
La Ferrassie_Grand Abri;France;Europe;Western Europe;rock shelter;0.938;44.952;La Ferrassie_Grand Abri Peyrony Unit E Archaeological Assemblage;9;organic tools, raw material, technology, typology;39300;45100;Peyrony Unit E;organic tools, typology, technology;Middle Paleolithic;Chatelperronian;-1
La Rochette;France;Europe;Western Europe;rock shelter;1.104;45.012;La Rochette Unit 6 Archaeological Assemblage;14;typology;35000;45000;Unit 6;typology;Middle Paleolithic;Chatelperronian;-1
Laussel_Grand Abri;France;Europe;Western Europe;rock shelter;1.107;44.948;Laussel_Grand Abri Unit 6 Archaeological Assemblage;5;miscellaneous finds, organic tools, raw material, technology, typology;35000;45000;Unit 6;organic tools, miscellaneous finds, typology, technology;Middle Paleolithic;Chatelperronian;-1
Le Baste;France;Europe;Western Europe;open air;-1.46;43.479;Le Baste Niveau 3b middle Archaeological Assemblage;3;raw material, typology, technology;30000;45000;Unit D;technology, typology;Middle Paleolithic;Chatelperronian;1366
Le Baste;France;Europe;Western Europe;open air;-1.46;43.479;Le Baste Niveau 3b lower Archaeological Assemblage;4;raw material, typology, technology;30000;45000;Unit D;typology, technology;Middle Paleolithic;Chatelperronian;82
Le Moustier_Abri inférieur;France;Europe;Western Europe;rock shelter;1.06;44.994;Le Moustier_Abri inférieur Unit K Archaeological Assemblage;2;organic tools, raw material, technology, typology;38900;46300;Unit K;technology, organic tools, typology;Middle Paleolithic;Chatelperronian;-1
Le Piage;France;Europe;Western Europe;rock shelter;1.364;44.797;Le Piage Unit F-1 Archaeological Assemblage;1;raw material, technology, typology;35000;45000;Unit F-1;typology, technology;Middle Paleolithic;Chatelperronian;-1
Les Bossats - Ormesson;France;Europe;Western Europe;open air;2.662;48.251;Chatelperronian (lithics);3;function, raw material, technology, typology;35000;45000;Unit 7;technology, typology, function;Middle Paleolithic;Chatelperronian;1562
Les Cottés;France;Europe;Western Europe;cave;0.841;46.692;Les Cottés Unit 06 Archaeological Assemblage;4;miscellaneous finds, raw material, technology, typology;36020;45600;Unit 06;miscellaneous finds, typology, technology;Middle Paleolithic;Chatelperronian;1980
Les Cottés;France;Europe;Western Europe;cave;0.841;46.692;Les Cottés Layer 4 Archaeological Assemblage;8;miscellaneous finds, organic tools, raw material, technology, typology;32800;45600;Layer 4;technology, organic tools, typology, miscellaneous finds;Middle Paleolithic;Chatelperronian;-1
Pair-non-Pair;France;Europe;Western Europe;cave;-0.502;45.039;Pair-non-Pair Unit 1-2 Archaeological Assemblage;13;miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;30000;300000;Unit 2;symbolic artifacts, miscellaneous finds, technology, organic tools, typology;Middle Paleolithic;Chatelperronian;349
Quincay;France;Europe;Western Europe;cave;0.236;46.607;La Grande Roche de la Plématrie Unit Ej Arch. Assemblage;1;miscellaneous finds, raw material, technology, typology;35000;45000;Unit Ej;miscellaneous finds, typology, technology;Middle Paleolithic;Chatelperronian;-1
Quincay;France;Europe;Western Europe;cave;0.236;46.607;La Grande Roche de la Plématrie Unit Em Arch. Assemblage;2;miscellaneous finds, raw material, technology, typology;35000#35000#35000;45000#45000#45000;Unit Emf#Unit Emj#Unit Emo;technology, miscellaneous finds, typology;Middle Paleolithic;Chatelperronian;-1
Quincay;France;Europe;Western Europe;cave;0.236;46.607;La Grande Roche de la Plématrie Unit En Arch. Assemblage;3;miscellaneous finds, raw material, technology, typology;35000;45000;Unit En;technology, miscellaneous finds, typology;Middle Paleolithic;Chatelperronian;-1
Roc de Combe;France;Europe;Western Europe;cave;1.346;44.772;Roc de Combe Unit 8 Archaeological Assemblage;7;miscellaneous finds, raw material, technology, typology;38570;43000;Unit 8;typology, technology, miscellaneous finds;Middle Paleolithic;Chatelperronian;864
Roc de Combe;France;Europe;Western Europe;cave;1.346;44.772;Roc de Combe Unit 10 Archaeological Assemblage;9;raw material, technology, typology;38570;45000;Unit 10;typology, technology;Middle Paleolithic;Chatelperronian;41
