Locality;Country;Continent;Subcontinent;Locality_type;X;Y;Assemblage_name;Assemblage_id;Assemblage_category;Age_MIN;Age_MAX;Geolayer;Archaeological_category;Archaeological_culture;Technocomplex;Lithic_piece_number
Arlanpe;Spain;Europe;Southern Europe;cave;-2.763;43.193;Nivel 5 assemblage;7;raw material, technology, typology;70600;218529;Nivel 5;typology, technology;Middle Paleolithic;Middle Paleolithic - Eurasia;32
Arlanpe;Spain;Europe;Southern Europe;cave;-2.763;43.193;Nivel VI assemblage;8;raw material, technology, typology;70600;218529;Nivel VI;typology, technology;Middle Paleolithic;Middle Paleolithic - Eurasia;233
Arma delle Manie;Italy;Europe;Southern Europe;cave;8.376;44.199;Unit I-VII finds;1;raw material, technology, typology;42000#42000#42000#42000#42000#42000#51000;69000#69000#69000#69000#69000#69000#76900;Unit I#Unit II#Unit III#Unit IV#Unit V#Unit VI#Unit VII;typology, technology;Middle Paleolithic;Mousterian - Eurasia;8254
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Blm assemblage;1;raw material, technology, typology;46900;350000;Blm;typology, technology;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Car assemblage;2;raw material, technology, typology;46900;350000;Car;technology, typology;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Clm assemblage;3;raw material, technology, typology;46900;350000;Clm;technology, typology;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Srk12 assemblage;4;typology;46900;350000;Srk12;typology;Middle Paleolithic;Mousterian - Eurasia;-1
Artenac;France;Europe;Western Europe;cave;0.332;45.838;Unit 6c Archaeological Assemblage;1;organic tools, raw material, technology, typology;71000;126000;Unit 6;technology, organic tools, typology;Middle Paleolithic;Mousterian - Eurasia;2907
Artenac;France;Europe;Western Europe;cave;0.332;45.838;Unit 8GHF Archaeological Assemblage;2;raw material, technology, typology;71000;126000;Unit 8;technology, typology;Middle Paleolithic;Mousterian - Eurasia;4267
Asprochaliko;Greece;Europe;Southern Europe;rock shelter;20.84;39.24;Layer 14 finds;2;technology, typology;42000;85000;Layer 14;technology, typology;Middle Paleolithic;Mousterian - Eurasia;6795
Asprochaliko;Greece;Europe;Southern Europe;rock shelter;20.84;39.24;Layer 16-19 finds;3;technology, typology;85000#90000#90000;90000#110000#110000;Layer 16#Layer 18#Layer 19;typology, technology;Middle Paleolithic;Mousterian - Eurasia;29489
Assen;Netherlands;Europe;Western Europe;open air;6.487;53.083;Surface collection assemblage;1;raw material, technology, typology;50000;100000;Surface layer;typology, technology;Middle Paleolithic;Mousterian of Acheulean Tradition;79
Assen;Netherlands;Europe;Western Europe;open air;6.487;53.083;layer 4 assemblage;2;raw material, technology, typology;50000;100000;layer 4;technology, typology;Middle Paleolithic;Mousterian of Acheulean Tradition;294
Assen;Netherlands;Europe;Western Europe;open air;6.487;53.083;Concentration B assemblage;3;raw material, technology, typology;50000;100000;Concentration B;typology, technology;Middle Paleolithic;Mousterian of Acheulean Tradition;53
Axlor;Spain;Europe;Southern Europe;rock shelter;-2.729;43.121;Nivel MN assemblage, Gonzalez;15;feature, organic tools, raw material, technology, typology;43290;350000;Nivel 6;typology, organic tools, technology, feature;Middle Paleolithic;Mousterian - Eurasia;-1
Axlor;Spain;Europe;Southern Europe;rock shelter;-2.729;43.121;Nivel R assemblage, Gonzalez;17;miscellaneous finds, raw material, technology, typology;43290;350000;Nivel 9;typology, miscellaneous finds, technology;Middle Paleolithic;Mousterian - Eurasia;414
Axlor;Spain;Europe;Southern Europe;rock shelter;-2.729;43.121;Nivel 5 assemblage;5;miscellaneous finds, organic tools, raw material, technology, typology;43290;350000;Nivel 5;organic tools, typology, miscellaneous finds, technology;Middle Paleolithic;Mousterian - Eurasia;1706
Axlor;Spain;Europe;Southern Europe;rock shelter;-2.729;43.121;Nivel 6 assemblage;6;raw material, technology, typology;43290;350000;Nivel 6;technology, typology;Middle Paleolithic;Mousterian - Eurasia;1261
Axlor;Spain;Europe;Southern Europe;rock shelter;-2.729;43.121;Nivel 7 assemblage;7;raw material, technology, typology;43290;350000;Nivel 7;typology, technology;Middle Paleolithic;Mousterian - Eurasia;250
Axlor;Spain;Europe;Southern Europe;rock shelter;-2.729;43.121;Nivel 8 assemblage;8;raw material, technology, typology;43290;350000;Nivel 8;typology, technology;Middle Paleolithic;Mousterian - Eurasia;244
Balver Cave;Germany;Europe;Central Europe;cave;7.874;51.337;Balve II assemblage;2;raw material, technology, typology;68000;72000;layer A III/ B III (4-3);typology, technology;Middle Paleolithic;Micoquian;1565
Balver Cave;Germany;Europe;Central Europe;cave;7.874;51.337;Balve III assemblage;3;organic tools, raw material, technology, typology;65000;68000;layer A III/ B IIIa (2-1);organic tools, technology, typology;Middle Paleolithic;Micoquian;584
Balver Cave;Germany;Europe;Central Europe;cave;7.874;51.337;Balve II-III assemblage;5;raw material, technology, typology;68000;72000;layer A III/ B III (4-3);typology, technology;Middle Paleolithic;Micoquian;1328
Barma Grande;Italy;Europe;Southern Europe;cave;7.535;43.784;Barma Grande Layer 4-0 finds;2;organic tools;55000;70000;Layer 4;organic tools;Middle Paleolithic;Mousterian - Eurasia;-1
Bau de l Aubesier;France;Europe;Western Europe;rock shelter;5.338;44.045;Bau de l Aubesier Trench L Layer II+III Archaeological Assemblage;1;raw material, typology, technology;71000#71000;116000#116000;Trench L Unit II#Trench L Unit III;technology, typology;Middle Paleolithic;Middle Paleolithic - Eurasia;2687
Bau de l Aubesier;France;Europe;Western Europe;rock shelter;5.338;44.045;Bau de l Aubesier Trench L Layer IV Archaeological Assemblage;2;feature, raw material, technology, typology;104000;116000;Trench L Unit IV;technology, feature, typology;Middle Paleolithic;Middle Paleolithic - Eurasia;20022
Bau de l Aubesier;France;Europe;Western Europe;rock shelter;5.338;44.045;Bau de l Aubesier Lower Slope Layer C Archaeological Assemblage;4;raw material, typology, technology;11780;157300;Lower Slope Unit C;technology, typology;Middle Paleolithic;Middle Paleolithic - Eurasia;718
Bau de l Aubesier;France;Europe;Western Europe;rock shelter;5.338;44.045;Bau de l Aubesier Lower Slope Layer H Archaeological Assemblage;5;feature, raw material, technology, typology;116000;206000;Lower Slope Unit H;technology, feature, typology;Middle Paleolithic;Middle Paleolithic - Eurasia;6947
Bau de l Aubesier;France;Europe;Western Europe;rock shelter;5.338;44.045;Bau de l Aubesier Lower Slope Layer I Archaeological Assemblage;6;raw material, typology, technology;126000;191000;Lower Slope Unit I;technology, typology;Middle Paleolithic;Middle Paleolithic - Eurasia;2066
Baume Bonne;France;Europe;Western Europe;cave, rock shelter;6.056;43.7;Baume Bonne Layer M Archaeological Assemblage;2;raw material, typology, technology;29000;71000;Unit M;typology, technology;Middle Paleolithic;Mousterian - Eurasia;59
Baume Bonne;France;Europe;Western Europe;cave, rock shelter;6.056;43.7;Baume Bonne Layer V Archaeological Assemblage;3;raw material, typology, technology;116000;126000;Unit V;typology, technology;Middle Paleolithic;Mousterian - Eurasia;96
Baume Bonne;France;Europe;Western Europe;cave, rock shelter;6.056;43.7;Baume Bonne Layer IVc Archaeological Assemblage;4;raw material, typology, technology;126000;191000;Unit IVc;typology, technology;Middle Paleolithic;Mousterian - Eurasia;707
Baume Bonne;France;Europe;Western Europe;cave, rock shelter;6.056;43.7;Baume Bonne Layer IVb Archaeological Assemblage;5;raw material, typology, technology;126000;191000;Unit IVb;technology, typology;Middle Paleolithic;Mousterian - Eurasia;1510
Baume Bonne;France;Europe;Western Europe;cave, rock shelter;6.056;43.7;Baume Bonne Layer IVa Archaeological Assemblage;6;raw material, typology, technology;126000;191000;Unit IVa;typology, technology;Middle Paleolithic;Mousterian - Eurasia;2341
Baume Flandin;France;Europe;Western Europe;cave;4.398;44.3;Baume Flandin Terrace Layer 3 Archaeological Assemblage;1;raw material, typology, technology;116000;126000;Terrace Unit 3;typology, technology;Middle Paleolithic;Middle Paleolithic - Eurasia;136
Baume Flandin;France;Europe;Western Europe;cave;4.398;44.3;Baume Flandin Cave Layer 1 Archaeological Assemblage;2;raw material, typology, technology;11780;126000;Cave Unit 1;typology, technology;Middle Paleolithic;Middle Paleolithic - Eurasia;1093
Baume de Gigny;France;Europe;Western Europe;cave;5.475;46.47;Unit XVI occupation Lithics;3;raw material, technology, typology;57000;71000;Unit XVI;typology, technology;Middle Paleolithic;Mousterian - Eurasia;384
Baume de Gigny;France;Europe;Western Europe;cave;5.475;46.47;Unit XIX occupation Lithics;4;raw material, technology, typology;71000;84500;Unit XIX;typology, technology;Middle Paleolithic;Mousterian - Eurasia;745
Baume de Gigny;France;Europe;Western Europe;cave;5.475;46.47;Unit XX occupation Lithics;5;raw material, technology, typology;71000;84500;Unit XX;typology, technology;Middle Paleolithic;Mousterian - Eurasia;277
Baume-Vallée;France;Europe;Western Europe;rock shelter;3.894;44.945;Complex 3 lithics;1;raw material, technology, typology;35000;71000;complex 3;technology, typology;Middle Paleolithic;Charentian La Ferrassie;2984
Baume-Vallée;France;Europe;Western Europe;rock shelter;3.894;44.945;Layer F lithics;2;raw material, technology, typology;35000;71000;complex 2;typology, technology;Middle Paleolithic;Charentian La Ferrassie;918
Baume-Vallée;France;Europe;Western Europe;rock shelter;3.894;44.945;Layer HIJK lithics;3;feature, function, organic tools, raw material, technology, typology;60000;100000;complex 1;feature, function, typology, organic tools, technology;Middle Paleolithic;Charentian La Ferrassie;2992
Bañugues;Spain;Europe;Southern Europe;open air;-5.81;43.64;Bañugues 5 and 7 assemblage;1;raw material, technology, typology;70000;130000;Level 5;technology, typology;Middle Paleolithic;Middle Paleolithic - Eurasia;379
Becov I;Czech Republic;Europe;Central Europe;collapsed shelter;13.73;50.424;Becov I layer A-III-1 assemblage;2;feature, raw material, technology, typology;40000;123000;layer 3;feature, technology, typology;Middle Paleolithic;Mousterian - Eurasia;106
Becov I;Czech Republic;Europe;Central Europe;collapsed shelter;13.73;50.424;Becov I layer A-III-5 assemblage;3;raw material, technology, typology;109000;243000;layer 6;typology, technology;Middle Paleolithic;Mousterian of Acheulean Tradition;264
Becov I;Czech Republic;Europe;Central Europe;collapsed shelter;13.73;50.424;Becov I layer A-III-3 assemblage;4;raw material, technology, typology;40000;123000;layer 4;technology, typology;Middle Paleolithic;Mousterian - Eurasia;122
Becov I;Czech Republic;Europe;Central Europe;collapsed shelter;13.73;50.424;Becov I layer A-III-2 assemblage;5;raw material, technology, typology;40000#40000;123000#123000;layer 3#layer 4;technology, typology;Middle Paleolithic;Mousterian - Eurasia;76
Benzu Rockshelter;Spain;Europe;Southern Europe;cave;-5.379;35.912;Unit 7 inventar;1;miscellaneous finds, raw material, technology, typology;70000;179000;Unit 7;technology, typology, miscellaneous finds;Middle Paleolithic;Mousterian - Levant;4975
Benzu Rockshelter;Spain;Europe;Southern Europe;cave;-5.379;35.912;Unit 6 inventar;9;function, miscellaneous finds, raw material, technology, typology;70000;179000;Unit 6;function, technology, typology, miscellaneous finds;Middle Paleolithic;Mousterian - Levant;3622
Bettencourt-Saint-Ouen;France;Europe;Western Europe;open air;2.117;50.014;Bettencourt Lithics N1;1;function, raw material, technology, typology;65000;71000;Unit 4;typology, technology, function;Middle Paleolithic;Middle Paleolithic - Eurasia;483
Bettencourt-Saint-Ouen;France;Europe;Western Europe;open air;2.117;50.014;Bettencourt Lithics N2a;2;raw material, technology, typology;71000#71000;84500#84500;Unit 6#Unit 7;technology, typology;Middle Paleolithic;Middle Paleolithic - Eurasia;10
Bettencourt-Saint-Ouen;France;Europe;Western Europe;open air;2.117;50.014;Bettencourt Lithics N2b1;4;function, raw material, technology, typology;71000;84500;Unit 7;typology, technology, function;Middle Paleolithic;Middle Paleolithic - Eurasia;586
Bettencourt-Saint-Ouen;France;Europe;Western Europe;open air;2.117;50.014;Bettencourt Lithics N2b2;5;function, raw material, technology, typology;71000;84500;Unit 7;technology, typology, function;Middle Paleolithic;Middle Paleolithic - Eurasia;1357
Bettencourt-Saint-Ouen;France;Europe;Western Europe;open air;2.117;50.014;Bettencourt Lithics N2b3;6;function, raw material, technology, typology;71000;84500;Unit 7;function, technology, typology;Middle Paleolithic;Middle Paleolithic - Eurasia;4523
Bettencourt-Saint-Ouen;France;Europe;Western Europe;open air;2.117;50.014;Bettencourt Lithics N3a;8;raw material, technology, typology;91500#102500;102500#116500;Unit 9#Unit 10;typology, technology;Middle Paleolithic;Middle Paleolithic - Eurasia;87
Bettencourt-Saint-Ouen;France;Europe;Western Europe;open air;2.117;50.014;Bettencourt Lithics N3b;9;raw material, technology, typology;102500;116500;Unit 10;typology, technology;Middle Paleolithic;Middle Paleolithic - Eurasia;1351
Biache-Saint-Vaast;France;Europe;Western Europe;open air;2.949;50.314;Biache Lithics Layer D;2;raw material, technology, typology;130000;191000;Unit 5;typology, technology;Middle Paleolithic;Middle Paleolithic - Eurasia;506
Biache-Saint-Vaast;France;Europe;Western Europe;open air;2.949;50.314;Biache Lithics Layer D1;3;raw material, technology, typology;130000;191000;Unit 5;typology, technology;Middle Paleolithic;Middle Paleolithic - Eurasia;3184
Bioce;Montenegro;Europe;Southern Europe;rock shelter;19.35;42.506;Bioce Layer 1.2 finds;1;technology, typology;40000;60000;Layer 1.2;technology, typology;Middle Paleolithic;Mousterian - Eurasia;1506
Bioce;Montenegro;Europe;Southern Europe;rock shelter;19.35;42.506;Bioce Layer 1.3 finds;2;technology, typology;40000;60000;Layer 1.3;technology, typology;Middle Paleolithic;Mousterian - Eurasia;1257
Bioce;Montenegro;Europe;Southern Europe;rock shelter;19.35;42.506;Bioce Layer 1.4 finds;3;technology, typology;40000;60000;Layer 1.4;technology, typology;Middle Paleolithic;Mousterian - Eurasia;750
Bioce;Montenegro;Europe;Southern Europe;rock shelter;19.35;42.506;Bioce Layer 2.1 finds;4;technology, typology;40000;60000;Layer 2.1;typology, technology;Middle Paleolithic;Mousterian - Eurasia;337
Bioce;Montenegro;Europe;Southern Europe;rock shelter;19.35;42.506;Bioce Layer 3 finds;5;technology, typology;85000;110000;Layer 3;technology, typology;Middle Paleolithic;Mousterian - Eurasia;310
Bioce;Montenegro;Europe;Southern Europe;rock shelter;19.35;42.506;Bioce Layer 4.1 finds;6;technology, typology;85000;110000;Layer 4.1;technology, typology;Middle Paleolithic;Mousterian - Eurasia;34
Bisnik Cave;Poland;Europe;Central Europe;cave;19.665;50.426;Bisnik Cave Archaeological Assemblage F;1;feature, raw material, technology, typology;40000#40000;70000#70000;Layer 5#Layer 6;technology, feature, typology;Middle Paleolithic;Micoquian;1137
Bisnik Cave;Poland;Europe;Central Europe;cave;19.665;50.426;Bisnik Cave Archaeological Assemblage A3;13;feature, raw material, technology, typology;115000;126000;Layer 14;feature, typology, technology;Middle Paleolithic;Middle Paleolithic - Eurasia;115
Bisnik Cave;Poland;Europe;Central Europe;cave;19.665;50.426;Bisnik Cave Archaeological Assemblage E;2;feature, function, raw material, technology, typology;40000#60000;70000#74000;Layer 7#Layer 8;feature, function, technology, typology;Middle Paleolithic;Micoquian;270
Bisnik Cave;Poland;Europe;Central Europe;cave;19.665;50.426;Bisnik Cave Archaeological Assemblage D;3;feature, function, raw material, technology, typology;70000;90000;Layer 9;function, feature, technology, typology;Middle Paleolithic;Middle Paleolithic - Eurasia;52
Bisnik Cave;Poland;Europe;Central Europe;cave;19.665;50.426;Bisnik Cave Archaeological Assemblage C;4;feature, function, raw material, technology, typology;70000;90000;Layer 10;technology, typology, feature, function;Middle Paleolithic;Middle Paleolithic - Eurasia;148
Bisnik Cave;Poland;Europe;Central Europe;cave;19.665;50.426;Bisnik Cave Archaeological Assemblage B;5;feature, raw material, technology, typology;90000;110000;Layer 11;typology, technology, feature;Middle Paleolithic;Middle Paleolithic - Eurasia;168
