Locality;Country;Continent;Subcontinent;Locality_type;X;Y;Assemblage_name;Assemblage_id;Assemblage_category;Age_MIN;Age_MAX;Geolayer;Archaeological_category;Archaeological_culture;Technocomplex;Lithic_piece_number
Ciemna Cave;Poland;Europe;Central Europe;cave;19.832;50.197;Ciemna Cave AH II Ogrojec assemblage;15;raw material, technology, typology;57000;71000;Ciemna Cave layer 12 Ogrojec;typology, technology;Middle Paleolithic;Micoquian;51
Ciemna Cave;Poland;Europe;Central Europe;cave;19.832;50.197;Ciemna Cave AH V Main Chamber assemblage;5;raw material, technology, typology;50000;71000;Ciemna Cave layer 8 Main Chamber;typology, technology;Middle Paleolithic;Micoquian;65
Ciemna Cave;Poland;Europe;Central Europe;cave;19.832;50.197;Ciemna Cave AH IV Main Chamber assemblage;6;raw material, technology, typology;50000;71000;Ciemna Cave layer 6 Main Chamber;technology, typology;Middle Paleolithic;Micoquian;14
Ciemna Cave;Poland;Europe;Central Europe;cave;19.832;50.197;Ciemna Cave AH III Main Chamber assemblage;7;human remains, raw material, technology, typology;29000#50000;57000#57000;Ciemna Cave layer 2.3 Main Chamber#Ciemna Cave layer 3 Main Chamber;technology, typology;Middle Paleolithic;Micoquian;158
Dzerava skala cave;Slovakia;Europe;Central Europe;cave;17.325;48.497;Dzerava skala cave layer 11 Micoquian assemblage;7;raw material, technology, typology;36450;50400;Dzerava skala cave Exc. 2002-2003 Layer 11;typology, technology;Middle Paleolithic;Micoquian;2
Feldhofer Grotte;Germany;Europe;Central Europe;cave;6.946;51.227;Feldhofer Grotte MP assemblage;60;feature, organic tools, raw material, technology, typology;38570;130000;Feldhofer Grotte Layer 1;organic tools, typology, technology, feature;Middle Paleolithic;Micoquian;224
Hallera Av. site;Poland;Europe;Central Europe;open air;16.995;51.09;Hallera Av. site Upper horizon assemblage;2;function, raw material, technology, typology;21100#49900;55800#60900;Hallera Av. site Complex D#Hallera Av. site Complex C;technology, typology, function;Middle Paleolithic;Micoquian;827
Kulna Cave;Czech Republic;Europe;Central Europe;cave;16.738;49.408;Kulna Cave Layer 6a Archaeological Assemblage;1;raw material, typology, technology, organic tools;45900;76620;Unit 6a;organic tools, technology, typology;Middle Paleolithic;Micoquian;991
Kulna Cave;Czech Republic;Europe;Central Europe;cave;16.738;49.408;Kulna Cave Layer 7a Archaeological Assemblage;2;organic tools, raw material, symbolic artifacts, technology, typology;43400;75090;Unit 7a;symbolic artifacts, typology, technology, organic tools;Middle Paleolithic;Micoquian;7920
Kulna Cave;Czech Republic;Europe;Central Europe;cave;16.738;49.408;Kulna Cave Layer 7c+alpha Archaeological Assemblage;3;raw material, typology, technology, organic tools;43400#49300;76000#76000;Unit 7alpha#Unit 7c;technology, organic tools, typology;Middle Paleolithic;Micoquian;660
Kulna Cave;Czech Republic;Europe;Central Europe;cave;16.738;49.408;Kulna Cave layer 7d assemblage;72;miscellaneous finds;49300;77500;Unit 7d;miscellaneous finds;Middle Paleolithic;Micoquian;-1
Königsaue;Germany;Europe;Central Europe;open air;11.394;51.818;Königsaue level A assemblage;4;miscellaneous finds, raw material, technology, typology;45000;90000;Königsaue layer Ib;typology, miscellaneous finds, technology;Middle Paleolithic;Micoquian;1490
Königsaue;Germany;Europe;Central Europe;open air;11.394;51.818;Königsaue level C assemblage;6;raw material, technology, typology;45000;90000;Königsaue layer Ib;typology, technology;Middle Paleolithic;Micoquian;297
La Micoque;France;Europe;Western Europe;open air;1.006;44.958;La Micoque Unit 6 Archaeological Assemblage;3;raw material, technology, typology;11780#11780;360000#360000;Exc. Hauser Unit D#Exc. Peyrony Unit N;technology, typology;Middle Paleolithic;Micoquian;305
Moravsky Krumlov IV;Czech Republic;Europe;Central Europe;open air;16.411;49.045;Moravsky Krumlov IV Archaeological Assemblage Layer 1;2;technology, typology, raw material;89900#89900#89900;104500#104500#104500;IV-1 Unit C#IV-1 Unit D#IV-3 Unit H;typology, technology;Middle Paleolithic;Micoquian;1073
Oblazowa Cave;Poland;Europe;Central Europe;cave;20.126;49.429;Oblazowa Cave AH XVIIIb assemblage;12;raw material, technology, typology;39100;43500;Oblazowa Cave Layer XVIII;technology, typology;Middle Paleolithic;Micoquian;95
Piekary I;Poland;Europe;Central Europe;cave;19.79;50.014;Piekary I Micoquian assemblage Exc. Ossowski;1;technology, typology;40000;350000;Piekary I loess layer;technology, typology;Middle Paleolithic;Micoquian;-1
Piekary I;Poland;Europe;Central Europe;cave;19.79;50.014;Piekary I layer 3/ layer 2 lower part assemblage;3;technology, typology;40000#40000;130000#250000;Piekary I layer 2 lower part#Piekary I layer 3;technology, typology;Middle Paleolithic;Micoquian;-1
Piekary I;Poland;Europe;Central Europe;cave;19.79;50.014;Piekary I layer 2 middle part assemblage;4;technology, typology;32000;130000;Piekary I layer 2 middle part;technology, typology;Middle Paleolithic;Micoquian;-1
Piekary II;Poland;Europe;Central Europe;open air;19.79;50.014;Piekary II Micoquian Assemblage Secteur 1;11;technology, typology;32000#32000#32000#40000;43000#43000#43000#350000;Piekary II Secteur 1 layer 5#Piekary II Secteur 1 layer 6#Piekary II Secteur 1 layer 6/5#Piekary II Secteur 1 layer 4.1;technology, typology;Middle Paleolithic;Micoquian;139
Piekary II;Poland;Europe;Central Europe;open air;19.79;50.014;Piekary II Micoquian collection assemblage;2;technology, typology;40000#40000;43000#350000;Piekary II layer 4#Piekary II layer 2;typology, technology;Middle Paleolithic;Micoquian;-1
Piekary II;Poland;Europe;Central Europe;open air;19.79;50.014;Piekary II Micoquian Assemblage Sondage I/54;6;technology, typology;32000#32000;43000#350000;Piekary II Sondage I/54 layer 1#Piekary II Sondage I/54 layer 5;typology, technology;Middle Paleolithic;Micoquian;24
Piekary III;Poland;Europe;Central Europe;open air;19.79;50.014;Piekary III Micoquian assemblage layer 7 serie A;1;technology, typology;40000;130000;Piekary III layer 7;technology, typology;Middle Paleolithic;Micoquian;932
Piekary III;Poland;Europe;Central Europe;open air;19.79;50.014;Piekary III Micoquian assemblage layer 7 serie B;2;technology, typology;40000;130000;Piekary III layer 7;technology, typology;Middle Paleolithic;Micoquian;161
Piekary III;Poland;Europe;Central Europe;open air;19.79;50.014;Piekary III Micoquian assemblage layer 6;3;technology, typology;40000;130000;Piekary III layer 6;technology, typology;Middle Paleolithic;Micoquian;-1
Piekary IIa;Poland;Europe;Central Europe;open air;19.79;50.014;Piekary IIa layer 7c2 assemblage;8;raw material, technology, typology;38900;70600;Piekary IIa PKB-2;typology, technology;Middle Paleolithic;Micoquian;8
Piekary IV;Poland;Europe;Central Europe;cave;19.79;50.014;Piekary IV Micoquian assemblage;2;technology, typology;32000;780000;Piekary IV loess layer;technology, typology;Middle Paleolithic;Micoquian;-1
Prolom II;Ukraine;Europe;Eastern Europe;collapsed cave;34.707;45.092;Cultural layer I archaeological assemblage;1;organic tools, symbolic artifacts, technology, typology;40000;130000;Horizon 2;organic tools, typology, technology, symbolic artifacts;Middle Paleolithic;Micoquian;-1
Prolom II;Ukraine;Europe;Eastern Europe;collapsed cave;34.707;45.092;Cultural layer II archaeological assemblage;2;organic tools, symbolic artifacts, technology, typology;40000;130000;Horizon 4;technology, symbolic artifacts, organic tools, typology;Middle Paleolithic;Micoquian;-1
Prolom II;Ukraine;Europe;Eastern Europe;collapsed cave;34.707;45.092;Cultural layer III archaeological assemblage;3;organic tools, symbolic artifacts, technology, typology;40000;130000;Horizon 5;organic tools, symbolic artifacts, typology, technology;Middle Paleolithic;Micoquian;-1
Prolom II;Ukraine;Europe;Eastern Europe;collapsed cave;34.707;45.092;Cultural layer IV archaeological assemblage;4;organic tools, technology, typology;40000;130000;Horizon 7;technology, typology, organic tools;Middle Paleolithic;Micoquian;-1
Vinneuf - Les Hauts Massous;France;Europe;Western Europe;open air;3.14;48.368;assembalge N0;1;raw material, technology, typology;20000;116500;Unit 2;technology, typology;Middle Paleolithic;Micoquian;152
Vinneuf - Les Hauts Massous;France;Europe;Western Europe;open air;3.14;48.368;assembalge N1;2;raw material, technology, typology;20000;116500;Unit 2;technology, typology;Middle Paleolithic;Micoquian;1043
Vinneuf - Les Hauts Massous;France;Europe;Western Europe;open air;3.14;48.368;assembalge N2;3;raw material, technology, typology;20000;116500;Unit 2;technology, typology;Middle Paleolithic;Micoquian;52
Wylotne;Poland;Europe;Central Europe;rock shelter;19.813;50.208;Wylotne layer 8/7 assemblage;1;raw material, technology, typology;40000#40000;115000#115000;Wylotne layer 7#Wylotne layer 8;typology, technology;Middle Paleolithic;Micoquian;1973
Wylotne;Poland;Europe;Central Europe;rock shelter;19.813;50.208;Wylotne layer 6 assemblage;2;raw material, technology, typology;40000;115000;Wylotne layer 6;technology, typology;Middle Paleolithic;Micoquian;4725
Wylotne;Poland;Europe;Central Europe;rock shelter;19.813;50.208;Wylotne layer 5 assemblage;3;raw material, technology, typology;40000;115000;Wylotne layer 5;typology, technology;Middle Paleolithic;Micoquian;5801
Zwierzyniec I;Poland;Europe;Central Europe;open air;19.892;50.058;Zwierzyniec I Exc. Jura Micoquian assemblage;5;raw material, technology, typology;40000;130000;Zwierzyniec I sand layer;typology, technology;Middle Paleolithic;Micoquian;79
Zwolen;Poland;Europe;Central Europe;quarry;21.603;51.352;Zwolen Lower Cultural Level assemblage;1;function, raw material, technology, typology;34000#34000#57000#57000#57000#57000;97000#98000#97000#97000#97000#97000;Zwolen Stratum IX, Unit 11#Zwolen Stratum XIV, Unit 18#Zwolen Stratum X, Unit 12#Zwolen Stratum XI, Unit 13#Zwolen Stratum XII, Unit 15#Zwolen Stratum XIII, Unit 17;function, typology, technology;Middle Paleolithic;Micoquian;35
Zwolen;Poland;Europe;Central Europe;quarry;21.603;51.352;Zwolen Middle Cultural Level assemblage;2;raw material, technology, typology;34000;98000;Zwolen Stratum XIV, Unit 18;technology, typology;Middle Paleolithic;Micoquian;25
Zwolen;Poland;Europe;Central Europe;quarry;21.603;51.352;Zwolen Upper Cultural Level assemblage;3;function, raw material, technology, typology;30000;90000;Zwolen Stratum XIV, Unit 19;technology, typology, function;Middle Paleolithic;Micoquian;24
Zwolen;Poland;Europe;Central Europe;quarry;21.603;51.352;Zwolen Middle/Upper Cultural Level assemblage;4;raw material, technology, typology;30000;90000;Zwolen Stratum XIV, Unit 19;typology, technology;Middle Paleolithic;Micoquian;20
Zwolen;Poland;Europe;Central Europe;quarry;21.603;51.352;Zwolen Stratum XVI Cultural Level assemblage;5;raw material, technology, typology;31000;74000;Zwolen Stratum XVI, Unit 24-27;typology, technology;Middle Paleolithic;Micoquian;99
